,time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
63,10,20,50,40,0.4018576516886219,0.5981423483113781
64,10,20,50,50,0.41339424185704454,0.5866057581429555
65,10,20,50,60,0.42268765744272846,0.5773123425572715
66,10,20,60,10,0.36811662851259724,0.6318833714874028
67,10,20,60,20,0.3718433865864845,0.6281566134135155
68,10,20,60,30,0.3869867992266839,0.6130132007733161
69,10,20,60,40,0.40061151421950497,0.599388485780495
70,10,20,60,50,0.41096177315509336,0.5890382268449066
71,10,20,60,60,0.4195967705009508,0.5804032294990492
72,10,30,10,10,0.3233326984824822,0.6766673015175177
73,10,30,10,20,0.3263169467220514,0.6736830532779485
74,10,30,10,30,0.3409463804116886,0.6590536195883114
75,10,30,10,40,0.355770213530075,0.644229786469925
76,10,30,10,50,0.3680826587751979,0.631917341224802
77,10,30,10,60,0.3789953515680589,0.6210046484319411
78,10,30,20,10,0.3226070196305668,0.6773929803694332
79,10,30,20,20,0.32576662255653954,0.6742333774434605
80,10,30,20,30,0.34005213828704306,0.6599478617129569
81,10,30,20,40,0.35463601718482285,0.6453639828151772
82,10,30,20,50,0.3669791637854406,0.6330208362145594
83,10,30,20,60,0.37768652443097733,0.6223134755690227
84,10,30,30,10,0.32205595587019137,0.6779440441298086
85,10,30,30,20,0.3252257238430116,0.6747742761569884
86,10,30,30,30,0.33903590208117573,0.6609640979188243
87,10,30,30,40,0.3530945077424937,0.6469054922575064
88,10,30,30,50,0.3651159103281731,0.6348840896718269
89,10,30,30,60,0.37570252939525095,0.624297470604749
90,10,30,40,10,0.3230170702053394,0.6769829297946606
91,10,30,40,20,0.32607562116128935,0.6739243788387106
92,10,30,40,30,0.33912752202109175,0.6608724779789082
93,10,30,40,40,0.3525230628348197,0.6474769371651803
94,10,30,40,50,0.3638867667929542,0.6361132332070458
95,10,30,40,60,0.3740966593771645,0.6259033406228355
96,10,30,50,10,0.32779422140598113,0.6722057785940189
97,10,30,50,20,0.3306873389740083,0.6693126610259916
98,10,30,50,30,0.3426574779323873,0.6573425220676127
99,10,30,50,40,0.35507271664529944,0.6449272833547006
100,10,30,50,50,0.3654902633455331,0.634509736654467
101,10,30,50,60,0.37498314910872427,0.6250168508912757
102,10,30,60,10,0.332391365295084,0.6676086347049159
103,10,30,60,20,0.33490483258087195,0.6650951674191281
104,10,30,60,30,0.34581598261353563,0.6541840173864644
105,10,30,60,40,0.3571516805099974,0.6428483194900025
106,10,30,60,50,0.3665460631263711,0.6334539368736289
107,10,30,60,60,0.37528107652617587,0.6247189234738242
108,10,40,10,10,0.2850973046029734,0.7149026953970266
109,10,40,10,20,0.286965144637938,0.713034855362062
110,10,40,10,30,0.2970375130869547,0.7029624869130453
111,10,40,10,40,0.3091568370787615,0.6908431629212385
112,10,40,10,50,0.3207532475317165,0.6792467524682835
