,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Stadium,Theater,Worship,Hospitals
60,"Brookland, Brentwood, Langdon",walk,10,0.0,2.8695652173913047,,,,0.1818181818181818,0.0909090909090909,0.2121212121212121,0.3636363636363636,,,0.1515151515151515,
61,"Brookland, Brentwood, Langdon",walk,20,0.0,14.521739130434781,0.014970059880239521,0.011976047904191617,0.03592814371257485,0.09580838323353294,0.05389221556886228,0.2634730538922156,0.36826347305389223,,,0.15568862275449102,
62,"Brookland, Brentwood, Langdon",walk,30,0.0,28.043478260869566,0.013953488372093021,0.006201550387596899,0.05116279069767441,0.08992248062015504,0.046511627906976744,0.27906976744186046,0.38139534883720927,0.0015503875968992248,0.006201550387596899,0.12403100775193798,
63,"Brookland, Brentwood, Langdon",walk,40,0.0,47.7391304347826,0.015482695810564663,0.009107468123861567,0.046448087431694,0.09836065573770492,0.03825136612021858,0.2932604735883425,0.37978142076502736,0.0009107468123861568,0.005464480874316941,0.1074681238615665,0.005464480874316941
64,"Brookland, Brentwood, Langdon",walk,50,0.0,67.78260869565217,0.02052597819114817,0.011545862732520847,0.05388069275176395,0.10647851186658115,0.030788967286722257,0.30532392559332905,0.3617703656189865,0.0006414368184733803,0.007055805003207185,0.09621552277100705,0.005772931366260423
65,"Brookland, Brentwood, Langdon",walk,60,0.0,109.30434782608695,0.025059665871121718,0.010342084327764518,0.060859188544152745,0.09307875894988066,0.03818615751789976,0.3635640413683373,0.3042959427207637,0.0003977724741447892,0.005568814638027049,0.07955449482895784,0.01909307875894988
66,"Brookland, Brentwood, Langdon",transit,10,2.0,1.3373164163899396,,,,0.17073170731707318,0.10975609756097561,0.21951219512195122,0.3292682926829268,,,0.17073170731707318,
67,"Brookland, Brentwood, Langdon",transit,20,2.0,6.327789872674349,0.015463917525773195,0.010309278350515464,0.03865979381443299,0.0979381443298969,0.04639175257731958,0.28350515463917525,0.3634020618556701,0.002577319587628866,0.007731958762886597,0.13402061855670103,
68,"Brookland, Brentwood, Langdon",transit,30,2.0,14.009204898523882,0.017462165308498253,0.009313154831199068,0.04540162980209546,0.09778812572759021,0.038416763678696154,0.31897555296856805,0.3562281722933644,0.0011641443538998836,0.005820721769499417,0.10244470314318975,0.006984866123399301
69,"Brookland, Brentwood, Langdon",transit,40,2.0,54.210241074148286,0.0457280385078219,0.019855595667870034,0.033393501805054154,0.07340553549939831,0.0595667870036101,0.4332129963898917,0.2617328519855595,0.0012033694344163659,0.0069193742478941035,0.06137184115523466,0.0036101083032490976
70,"Brookland, Brentwood, Langdon",transit,50,2.0,166.57743752447374,0.045329939299001365,0.017818680242803992,0.039357744272567066,0.0824358723320932,0.05286861170941844,0.4705306442138241,0.22204816917955744,0.0009790483649892304,0.008126101429410611,0.05345604072841198,0.007049148227922458
71,"Brookland, Brentwood, Langdon",transit,60,2.0,256.92783931472087,0.039355084423003686,0.015615081883965978,0.04265583343912657,0.08848546400914055,0.05122508569252254,0.45207566332360044,0.2405103465786467,0.001967754221150184,0.0075536371715119975,0.05141551352037579,0.009140535736955694
72,"Capitol Hill, Lincoln Park",drive,10,2.09375,12.418165291539271,0.04068522483940043,0.017130620985010704,0.044967880085653104,0.20128479657387577,0.02569593147751606,0.39400428265524623,0.19271948608137046,,0.004282655246252676,0.0728051391862955,0.006423982869379015
73,"Capitol Hill, Lincoln Park",drive,20,4.1875,46.106484593478015,0.03139329805996473,0.014109347442680775,0.03280423280423281,0.1417989417989418,0.039153439153439155,0.40282186948853616,0.24126984126984127,0.007054673721340388,0.007760141093474427,0.07548500881834215,0.006349206349206348
74,"Capitol Hill, Lincoln Park",drive,30,6.28125,76.79817352510332,0.0374303846651988,0.014246859215127573,0.04079782411604714,0.12304105685791994,0.04157492552778137,0.40875534257220564,0.2490610024608211,0.004015023960626861,0.008289081725165133,0.06812589042870094,0.004662608470405387
75,"Capitol Hill, Lincoln Park",drive,40,8.375,159.1597586226588,0.03172419065091924,0.016358980239269197,0.05125558995528036,0.08301800252264649,0.05446623093681917,0.4098918319764553,0.28586171310629516,0.0017199862401100791,0.006268394297290066,0.0473951763941444,0.012039903680770554
