,time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
191,10,60,20,60,0.35000043496587324,0.6499995650341268
192,10,60,30,10,0.30326769495194966,0.6967323050480503
193,10,60,30,20,0.3215214901603512,0.6784785098396489
194,10,60,30,30,0.35050948794392994,0.6494905120560701
195,10,60,30,40,0.3625450804658883,0.6374549195341117
196,10,60,30,50,0.3577712562374135,0.6422287437625864
197,10,60,30,60,0.3494404847750903,0.6505595152249097
198,10,60,40,10,0.30392883604718873,0.6960711639528112
199,10,60,40,20,0.3216168984402246,0.6783831015597754
200,10,60,40,30,0.34970667739672756,0.6502933226032724
201,10,60,40,40,0.3614207499327972,0.6385792500672027
202,10,60,40,50,0.35671317396474145,0.6432868260352586
203,10,60,40,60,0.3485380201062638,0.6514619798937362
204,10,60,50,10,0.303527424064078,0.696472575935922
205,10,60,50,20,0.3204874784896575,0.6795125215103426
206,10,60,50,30,0.3475776932170692,0.6524223067829308
207,10,60,50,40,0.35905452939722443,0.6409454706027755
208,10,60,50,50,0.3545061055957342,0.6454938944042659
209,10,60,50,60,0.3466000031953256,0.6533999968046744
210,10,60,60,10,0.3032889089558411,0.696711091044159
211,10,60,60,20,0.31941046522876143,0.6805895347712385
212,10,60,60,30,0.34542334846139106,0.6545766515386089
213,10,60,60,40,0.35659025874876127,0.6434097412512387
214,10,60,60,50,0.3521476819427478,0.6478523180572522
215,10,60,60,60,0.3445440815472629,0.6554559184527371
216,20,10,10,10,0.554329285613881,0.44567071438611905
217,20,10,10,20,0.5843537473494349,0.4156462526505651
218,20,10,10,30,0.5827823250480022,0.4172176749519978
219,20,10,10,40,0.529518596464251,0.47048140353574897
220,20,10,10,50,0.47845628065996093,0.5215437193400391
221,20,10,10,60,0.4423814549226375,0.5576185450773625
222,20,10,20,10,0.5259076350177841,0.47409236498221585
223,20,10,20,20,0.5596705415797812,0.44032945842021876
224,20,10,20,30,0.5665973846753812,0.43340261532461877
225,20,10,20,40,0.5207744735688155,0.47922552643118455
226,20,10,20,50,0.4729303960993688,0.5270696039006312
227,20,10,20,60,0.4383291153455819,0.5616708846544181
228,20,10,30,10,0.5015277817392715,0.4984722182607285
229,20,10,30,20,0.5363110825040993,0.4636889174959007
230,20,10,30,30,0.5497645789397887,0.4502354210602113
231,20,10,30,40,0.5113253065850683,0.48867469341493175
232,20,10,30,50,0.4671421344232832,0.5328578655767169
233,20,10,30,60,0.43421514978939035,0.5657848502106096
234,20,10,40,10,0.47695801754937656,0.5230419824506234
235,20,10,40,20,0.5116463585406431,0.4883536414593569
236,20,10,40,30,0.5309940140912336,0.4690059859087664
237,20,10,40,40,0.500149998535011,0.49985000146498904
238,20,10,40,50,0.4600432064496761,0.5399567935503239
239,20,10,40,60,0.42924426451477815,0.5707557354852218
240,20,10,50,10,0.4464702418783203,0.5535297581216797
241,20,10,50,20,0.4811487849500885,0.5188512150499115
242,20,10,50,30,0.5071502551043093,0.49284974489569067
243,20,10,50,40,0.4850136106541412,0.5149863893458588
244,20,10,50,50,0.44959653031778235,0.5504034696822176
245,20,10,50,60,0.42141253634510206,0.578587463654898
246,20,10,60,10,0.4221895809526217,0.5778104190473783
247,20,10,60,20,0.4546307106713077,0.5453692893286923
248,20,10,60,30,0.48456566158205017,0.5154343384179498
249,20,10,60,40,0.4696609362734143,0.5303390637265857
250,20,10,60,50,0.43875662158706363,0.5612433784129364
251,20,10,60,60,0.41320857809857986,0.5867914219014201
252,20,20,10,10,0.4486723829125499,0.5513276170874502
253,20,20,10,20,0.47881773792245697,0.521182262077543
254,20,20,10,30,0.505867768710887,0.494132231289113
255,20,20,10,40,0.48655447417188225,0.5134455258281178
256,20,20,10,50,0.453111462371318,0.5468885376286821
257,20,20,10,60,0.42600619854643057,0.5739938014535695
258,20,20,20,10,0.44128148264658307,0.5587185173534169
259,20,20,20,20,0.47072392582350847,0.5292760741764915
260,20,20,20,30,0.4983546891778544,0.5016453108221456
261,20,20,20,40,0.48145744479676233,0.5185425552032377
262,20,20,20,50,0.44952477030724447,0.5504752296927555
263,20,20,20,60,0.4232426094374921,0.5767573905625079
264,20,20,30,10,0.4350883806061648,0.5649116193938353
265,20,20,30,20,0.4633256838769474,0.5366743161230526
266,20,20,30,30,0.4907120185709187,0.5092879814290814
267,20,20,30,40,0.4761019516161328,0.5238980483838672
268,20,20,30,50,0.445897798570675,0.554102201429325
269,20,20,30,60,0.4205633066775387,0.5794366933224613
270,20,20,40,10,0.4278683345260827,0.5721316654739173
271,20,20,40,20,0.4545647414791013,0.5454352585208987
272,20,20,40,30,0.4817761418802249,0.5182238581197751
273,20,20,40,40,0.4695588834667471,0.5304411165332529
274,20,20,40,50,0.44142481796841304,0.558575182031587
275,20,20,40,60,0.4173156378219701,0.5826843621780299
276,20,20,50,10,0.4169050166985282,0.5830949833014718
277,20,20,50,20,0.44206192871597044,0.5579380712840296
278,20,20,50,30,0.46936845896020407,0.5306315410397959
279,20,20,50,40,0.4601256010240393,0.5398743989759607
280,20,20,50,50,0.4346630815715475,0.5653369184284525
281,20,20,50,60,0.41206219486939993,0.5879378051306001
282,20,20,60,10,0.4062652900721127,0.5937347099278873
283,20,20,60,20,0.42970724720371056,0.5702927527962894
284,20,20,60,30,0.4567689259644707,0.5432310740355293
285,20,20,60,40,0.45019381354357896,0.549806186456421
286,20,20,60,50,0.42739270021788317,0.5726072997821168
287,20,20,60,60,0.4063838024224614,0.5936161975775386
288,20,30,10,10,0.37784710950168715,0.6221528904983129
289,20,30,10,20,0.40037106009627904,0.5996289399037209
290,20,30,10,30,0.43116127822005834,0.5688387217799417
291,20,30,10,40,0.4313720962792996,0.5686279037207004
292,20,30,10,50,0.4127303487075504,0.5872696512924496
293,20,30,10,60,0.3942434405315926,0.6057565594684073
294,20,30,20,10,0.3757557512301684,0.6242442487698316
295,20,30,20,20,0.39777979371004496,0.6022202062899551
296,20,30,20,30,0.42808257918012543,0.5719174208198745
297,20,30,20,40,0.4288191661453734,0.5711808338546266
298,20,30,20,50,0.410729163872423,0.589270836127577
299,20,30,20,60,0.3926530030318856,0.6073469969681144
300,20,30,30,10,0.37468650567110495,0.625313494328895
301,20,30,30,20,0.3959309464686249,0.6040690535313751
302,20,30,30,30,0.4252840182842871,0.5747159817157129
303,20,30,30,40,0.4264046494631676,0.5735953505368324
304,20,30,30,50,0.4089556658769842,0.5910443341230158
305,20,30,30,60,0.39132103672095864,0.6086789632790414
306,20,30,40,10,0.3729344357411882,0.6270655642588119
307,20,30,40,20,0.3933101591075522,0.6066898408924478
308,20,30,40,30,0.4216439392761235,0.5783560607238765
309,20,30,40,40,0.42323326596163413,0.5767667340383659
310,20,30,40,50,0.4066361455155812,0.5933638544844189
311,20,30,40,60,0.38965207440665756,0.6103479255933424
312,20,30,50,10,0.36946119182746406,0.6305388081725359
313,20,30,50,20,0.38885412568493305,0.611145874315067
314,20,30,50,30,0.4160931664954661,0.5839068335045339
315,20,30,50,40,0.41828663067588684,0.5817133693241132
316,20,30,50,50,0.4028365023036582,0.5971634976963418
317,20,30,50,60,0.38660855904949676,0.6133914409505032
318,20,30,60,10,0.3661176259677348,0.6338823740322652
319,20,30,60,20,0.3841989349140372,0.6158010650859628
320,20,30,60,30,0.41031605864446186,0.5896839413555381
321,20,30,60,40,0.41304385677402994,0.58695614322597
322,20,30,60,50,0.3987469410394271,0.6012530589605729
323,20,30,60,60,0.3833405783585185,0.6166594216414816
324,20,40,10,10,0.3129428417044959,0.6870571582955041
325,20,40,10,20,0.3318516298582507,0.6681483701417493
326,20,40,10,30,0.3622782167220858,0.6377217832779142
327,20,40,10,40,0.3725146283607638,0.6274853716392361
328,20,40,10,50,0.363822760795055,0.636177239204945
329,20,40,10,60,0.3524237704223679,0.6475762295776322
330,20,40,20,10,0.3129267670392847,0.6870732329607153
331,20,40,20,20,0.3314439228348783,0.6685560771651218
332,20,40,20,30,0.3613013677068771,0.638698632293123
333,20,40,20,40,0.37148150693089993,0.6285184930691001
334,20,40,20,50,0.3629957507448222,0.6370042492551777
335,20,40,20,60,0.3517639191696434,0.6482360808303567
336,20,40,30,10,0.31390288318336385,0.6860971168166361
337,20,40,30,20,0.33187322426986865,0.6681267757301314
338,20,40,30,30,0.36082350814994574,0.6391764918500542
339,20,40,30,40,0.370767363162543,0.629232636837457
340,20,40,30,50,0.36252590241861776,0.6374740975813822
341,20,40,30,60,0.35147345736465974,0.6485265426353403
342,20,40,40,10,0.31488165068951696,0.6851183493104831
343,20,40,40,20,0.3322013493593886,0.6677986506406114
344,20,40,40,30,0.36005416947280994,0.6399458305271901
345,20,40,40,40,0.3697622536204357,0.6302377463795643
346,20,40,40,50,0.36180068739872123,0.6381993126012788
347,20,40,40,60,0.3510059853036831,0.6489940146963169
348,20,40,50,10,0.3148750422178206,0.6851249577821794
349,20,40,50,20,0.33143175213467213,0.6685682478653279
350,20,40,50,30,0.35810769293568545,0.6418923070643145
351,20,40,50,40,0.36761515259635447,0.6323848474036455
352,20,40,50,50,0.3600199025077495,0.6399800974922505
353,20,40,50,60,0.3496015305463174,0.6503984694536826
354,20,40,60,10,0.3151765192892364,0.6848234807107636
355,20,40,60,20,0.3308543975920045,0.6691456024079955
356,20,40,60,30,0.35631511990488013,0.6436848800951198
357,20,40,60,40,0.36546276925410615,0.6345372307458939
358,20,40,60,50,0.35822917440197993,0.6417708255980201
359,20,40,60,60,0.3481761123997963,0.6518238876002037
360,20,50,10,10,0.29021033235000215,0.7097896676499978
361,20,50,10,20,0.30815006472803375,0.6918499352719663
362,20,50,10,30,0.3377735475054665,0.6622264524945335
363,20,50,10,40,0.3507620569021992,0.6492379430978008
364,20,50,10,50,0.34595401197750764,0.6540459880224924
365,20,50,10,60,0.33729570264051256,0.6627042973594874
366,20,50,20,10,0.2905835091534351,0.7094164908465649
367,20,50,20,20,0.3081642800324443,0.6918357199675558
368,20,50,20,30,0.33724483034117525,0.6627551696588247
369,20,50,20,40,0.35009177506589073,0.6499082249341093
370,20,50,20,50,0.34535676104174956,0.6546432389582504
371,20,50,20,60,0.3368059113732559,0.6631940886267441
372,20,50,30,10,0.29193866384444106,0.708061336155559
373,20,50,30,20,0.30899863369103164,0.6910013663089684
374,20,50,30,30,0.3372534772582769,0.6627465227417231
375,20,50,30,40,0.34979484707241776,0.6502051529275823
376,20,50,30,50,0.3451645152664738,0.6548354847335263
377,20,50,30,60,0.33670649125849805,0.663293508741502
378,20,50,40,10,0.293338541921802,0.706661458078198
379,20,50,40,20,0.30980956396393367,0.6901904360360663
380,20,50,40,30,0.33709651764824194,0.6629034823517581
381,20,50,40,40,0.34925824985930826,0.6507417501406918
382,20,50,40,50,0.34468823216289124,0.6553117678371088
383,20,50,40,60,0.33641733050889844,0.6635826694911016
384,20,50,50,10,0.29381327829685394,0.7061867217031461
385,20,50,50,20,0.3096280419120921,0.690371958087908
386,20,50,50,30,0.3358602542418376,0.6641397457581624
387,20,50,50,40,0.3477057984504884,0.6522942015495117
388,20,50,50,50,0.3433368189577948,0.6566631810422052
389,20,50,50,60,0.3353218921385703,0.6646781078614297
390,20,50,60,10,0.29463391639402875,0.7053660836059712
391,20,50,60,20,0.30966033749678484,0.6903396625032152
392,20,50,60,30,0.3347379338627245,0.6652620661372755
393,20,50,60,40,0.3461755846340442,0.6538244153659558
394,20,50,60,50,0.3419215972559389,0.6580784027440612
395,20,50,60,60,0.33416404623466905,0.6658359537653309
396,20,60,10,10,0.32127749186360033,0.6787225081363997
397,20,60,10,20,0.3387169232290895,0.6612830767709106
398,20,60,10,30,0.3661995171877673,0.6338004828122328
399,20,60,10,40,0.37625834778153466,0.6237416522184653
400,20,60,10,50,0.3702338656644271,0.6297661343355729
401,20,60,10,60,0.36103898380728494,0.6389610161927151
402,20,60,20,10,0.3206381665369169,0.6793618334630831
403,20,60,20,20,0.3378191854957549,0.6621808145042452
404,20,60,20,30,0.3649444227021049,0.6350555772978951
405,20,60,20,40,0.3750458739823254,0.6249541260176745
406,20,60,20,50,0.36915488657175966,0.6308451134282403
407,20,60,20,60,0.3600842590565624,0.6399157409434376
408,20,60,30,10,0.32081079905365356,0.6791892009463465
409,20,60,30,20,0.3375895594642054,0.6624104405357947
410,20,60,30,30,0.3640666597108546,0.6359333402891454
411,20,60,30,40,0.37402685917737877,0.6259731408226212
412,20,60,30,50,0.36828665833981544,0.6317133416601846
413,20,60,30,60,0.35934269543426095,0.6406573045657391
414,20,60,40,10,0.32080838344784984,0.6791916165521501
415,20,60,40,20,0.337107302132929,0.6628926978670711
416,20,60,40,30,0.36285589045489336,0.6371441095451067
