,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Restaurant,Schools,Theater,Worship,Hospitals,Pharmacy,Stadium
87,Baldwin Hills Crenshaw,walk,40,0.0,4.08695652173913,0.021276595744680854,0.04255319148936171,0.1595744680851064,0.04255319148936171,0.17021276595744683,0.2872340425531915,,0.2340425531914894,,0.03191489361702128,0.010638297872340427
88,Baldwin Hills Crenshaw,walk,50,0.0,7.260869565217392,0.04790419161676646,0.02395209580838323,0.1437125748502994,0.0718562874251497,0.2275449101796407,0.19760479041916165,0.011976047904191616,0.21556886227544908,,0.05389221556886227,0.005988023952095808
89,Baldwin Hills Crenshaw,walk,60,0.0,9.043478260869566,0.03846153846153846,0.02884615384615384,0.11538461538461536,0.0673076923076923,0.22115384615384612,0.23076923076923073,0.01923076923076923,0.23076923076923073,,0.04326923076923076,0.004807692307692307
90,Baldwin Hills Crenshaw,transit,10,1.75,0.020640680677637118,,,,,,,,1.0,,,
91,Baldwin Hills Crenshaw,transit,20,1.75,0.18576612609873405,,,0.33333333333333337,,,0.16666666666666669,,0.33333333333333337,,0.16666666666666669,
92,Baldwin Hills Crenshaw,transit,30,1.75,0.443774634569198,0.046511627906976744,,0.20930232558139533,,0.046511627906976744,0.27906976744186046,,0.27906976744186046,,0.13953488372093023,
93,Baldwin Hills Crenshaw,transit,40,1.75,2.456241000638817,0.037815126050420166,0.03361344537815126,0.11344537815126049,0.08403361344537814,0.3277310924369748,0.1638655462184874,0.008403361344537815,0.1764705882352941,,0.05042016806722689,0.004201680672268907
94,Baldwin Hills Crenshaw,transit,50,1.75,11.042764162535857,0.0588785046728972,0.05981308411214954,0.07570093457943927,0.05794392523364487,0.4018691588785047,0.14018691588785048,0.011214953271028038,0.12897196261682245,0.005607476635514019,0.0560747663551402,0.0037383177570093464
95,Baldwin Hills Crenshaw,transit,60,1.75,32.30266526050209,0.07220447284345048,0.04856230031948882,0.06517571884984026,0.06453674121405752,0.40894568690095845,0.13610223642172523,0.013099041533546326,0.1284345047923323,0.010543130990415336,0.04984025559105432,0.0025559105431309905
96,Bel Air,drive,10,2.09375,0.09344218411830067,,,,,,1.0,,,,,
97,Bel Air,drive,20,4.1875,1.3165073872986037,0.01694915254237288,,,0.06779661016949153,0.1016949152542373,0.559322033898305,0.01694915254237288,0.1694915254237288,0.05084745762711865,,0.01694915254237288
98,Bel Air,drive,30,6.28125,10.182637505619171,0.07535321821036106,0.028257456828885398,0.0706436420722135,0.07535321821036106,0.38618524332810045,0.1601255886970173,0.01098901098901099,0.09419152276295134,0.03767660910518053,0.056514913657770796,0.004709576138147566
99,Bel Air,drive,40,8.375,43.2073089930327,0.05486350384309568,0.03180492976411344,0.07394646170156374,0.06679035250463822,0.39067055393586003,0.1924198250728863,0.009011396766498807,0.11131725417439703,0.016697588126159554,0.05009276437847866,0.0023853697323085077
100,Bel Air,drive,50,10.468750000000002,103.88589431050048,0.053857695648740433,0.025428413488114986,0.06562425965411041,0.08323462054805339,0.37242359630419336,0.2037431888178157,0.01145068309247414,0.13488114980652297,0.012556266287609573,0.03506278133143805,0.001737345020927111
101,Bel Air,drive,60,12.5625,85.4366731269951,0.04856572882988237,0.022975854715553412,0.06356194538075255,0.08997729930522115,0.3394097819357501,0.22597509802572746,0.01080002751599367,0.1517507050973378,0.012382197152094654,0.03281282245305083,0.0017885395886358944
102,Bel Air,bicycle,10,0.410958904109589,0.0,,,,,,,,,,,
103,Bel Air,bicycle,20,0.410958904109589,12.094767707359916,0.12794612794612795,0.04713804713804714,0.0404040404040404,0.07407407407407407,0.3973063973063972,0.11111111111111109,0.013468013468013466,0.04713804713804714,0.060606060606060594,0.07070707070707069,0.0101010101010101
104,Bel Air,bicycle,30,0.410958904109589,44.46965096443442,0.09065934065934067,0.04761904761904763,0.05219780219780221,0.0402930402930403,0.4890109890109891,0.10989010989010992,0.006410256410256413,0.0860805860805861,0.019230769230769235,0.05494505494505496,0.003663003663003664
105,Bel Air,bicycle,40,0.410958904109589,74.68620867103732,0.07415485278080697,0.04798255179934569,0.06379498364231188,0.04798255179934569,0.4536532170119956,0.14231188658669575,0.007088331515812432,0.08724100327153762,0.019629225736095962,0.053980370774263896,0.0021810250817884407
