,Community,Mode,Time Range,Cost,MI
288,Mattapan,drive,10,2.046875,39715.36292964768
289,Mattapan,drive,20,4.09375,32814.82207405566
290,Mattapan,drive,30,6.140625,27113.24959208885
291,Mattapan,drive,40,8.1875,22402.324833085706
292,Mattapan,drive,50,10.234375000000002,18509.92284132269
293,Mattapan,drive,60,12.28125,15293.825357166164
294,Mattapan,bicycle,10,0.2602739726027397,27499.455503017653
295,Mattapan,bicycle,20,0.2602739726027397,27499.455503017653
296,Mattapan,bicycle,30,0.2602739726027397,27499.455503017653
297,Mattapan,bicycle,40,0.2602739726027397,27499.455503017653
298,Mattapan,bicycle,50,0.5102739726027397,26865.832994414537
299,Mattapan,bicycle,60,1.0102739726027397,25642.049997651204
300,Mattapan,walk,10,0.0,1562.0
301,Mattapan,walk,20,0.0,1562.0
302,Mattapan,walk,30,0.0,1562.0
303,Mattapan,walk,40,0.0,1562.0
304,Mattapan,walk,50,0.0,1562.0
305,Mattapan,walk,60,0.0,1562.0
306,Mattapan,transit,10,2.4,3493.760337293378
307,Mattapan,transit,20,2.4,3493.760337293378
308,Mattapan,transit,30,2.4,3493.760337293378
309,Mattapan,transit,40,2.4,3493.760337293378
310,Mattapan,transit,50,2.4,3493.760337293378
311,Mattapan,transit,60,2.4,3493.760337293378
312,Mission Hill,drive,10,2.046875,45964.70431297637
313,Mission Hill,drive,20,4.09375,38289.79018049493
314,Mission Hill,drive,30,6.140625,31896.387760563186
315,Mission Hill,drive,40,8.1875,26570.517816273255
316,Mission Hill,drive,50,10.234375000000002,22133.930096554257
317,Mission Hill,drive,60,12.28125,18438.13752169715
318,Mission Hill,bicycle,10,0.2602739726027397,41141.09144041409
319,Mission Hill,bicycle,20,0.2602739726027397,41141.09144041409
320,Mission Hill,bicycle,30,0.2602739726027397,41141.09144041409
321,Mission Hill,bicycle,40,0.2602739726027397,41141.09144041409
322,Mission Hill,bicycle,50,0.5102739726027397,40233.26206208935
323,Mission Hill,bicycle,60,1.0102739726027397,38477.258420726386
324,Mission Hill,walk,10,0.0,5062.0
325,Mission Hill,walk,20,0.0,5062.0
326,Mission Hill,walk,30,0.0,5062.0
327,Mission Hill,walk,40,0.0,5062.0
328,Mission Hill,walk,50,0.0,5062.0
