time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,40,10,50,0.124785256,0.875214744
10,40,10,60,0.119374786,0.880625214
10,40,20,10,0.169071974,0.830928026
10,40,20,20,0.17856975,0.82143025
10,40,20,30,0.169648325,0.830351675
10,40,20,40,0.139778663,0.860221337
10,40,20,50,0.129924411,0.870075589
10,40,20,60,0.123812185,0.876187815
10,40,30,10,0.160549323,0.839450677
10,40,30,20,0.169648325,0.830351675
10,40,30,30,0.163620196,0.836379804
10,40,30,40,0.13719908,0.86280092
10,40,30,50,0.127935022,0.872064978
10,40,30,60,0.122003314,0.877996686
10,40,40,10,0.133097765,0.866902235
10,40,40,20,0.139778663,0.860221337
10,40,40,30,0.13719908,0.86280092
10,40,40,40,0.12452385,0.87547615
10,40,40,50,0.119856823,0.880143177
10,40,40,60,0.116212644,0.883787356
10,40,50,10,0.124785256,0.875214744
10,40,50,20,0.129924411,0.870075589
10,40,50,30,0.127935022,0.872064978
10,40,50,40,0.119856823,0.880143177
10,40,50,50,0.116885638,0.883114362
10,40,50,60,0.114070171,0.885929829
10,40,60,10,0.119374786,0.880625214
10,40,60,20,0.123812185,0.876187815
10,40,60,30,0.122003314,0.877996686
10,40,60,40,0.116212644,0.883787356
10,40,60,50,0.114070171,0.885929829
10,40,60,60,0.111891608,0.888108392
10,50,10,10,0.144703379,0.855296621
10,50,10,20,0.151672443,0.848327557
10,50,10,30,0.1466014,0.8533986
10,50,10,40,0.13281864,0.86718136
10,50,10,50,0.128737265,0.871262735
10,50,10,60,0.125162385,0.874837615
10,50,20,10,0.151672443,0.848327557
10,50,20,20,0.159105417,0.840894583
10,50,20,30,0.154281621,0.845718379
10,50,20,40,0.137148923,0.862851077
10,50,20,50,0.13176825,0.86823175
10,50,20,60,0.127786803,0.872213197
10,50,30,10,0.1466014,0.8533986
10,50,30,20,0.154281621,0.845718379
10,50,30,30,0.151176746,0.848823254
10,50,30,40,0.135083533,0.864916467
10,50,30,50,0.129868326,0.870131674
10,50,30,60,0.126112274,0.873887726
10,50,40,10,0.13281864,0.86718136
10,50,40,20,0.137148923,0.862851077
10,50,40,30,0.135083533,0.864916467
10,50,40,40,0.128837429,0.871162571
10,50,40,50,0.126276071,0.873723929
10,50,40,60,0.12377977,0.87622023
10,50,50,10,0.128737265,0.871262735
10,50,50,20,0.13176825,0.86823175
10,50,50,30,0.129868326,0.870131674
10,50,50,40,0.126276071,0.873723929
10,50,50,50,0.124625073,0.875374927
10,50,50,60,0.122663411,0.877336589
10,50,60,10,0.125162385,0.874837615
10,50,60,20,0.127786803,0.872213197
10,50,60,30,0.126112274,0.873887726
10,50,60,40,0.12377977,0.87622023
10,50,60,50,0.122663411,0.877336589
10,50,60,60,0.121285002,0.878714998
10,60,10,10,0.1495366,0.8504634
10,60,10,20,0.154014292,0.845985708
10,60,10,30,0.150851262,0.849148738
10,60,10,40,0.144611361,0.855388639
10,60,10,50,0.142575353,0.857424647
10,60,10,60,0.140979802,0.859020198
10,60,20,10,0.154014292,0.845985708
10,60,20,20,0.159160424,0.840839576
10,60,20,30,0.156148216,0.843851784
10,60,20,40,0.1471497,0.8528503
10,60,20,50,0.144180097,0.855819903
10,60,20,60,0.141960765,0.858039235
10,60,30,10,0.150851262,0.849148738
10,60,30,20,0.156148216,0.843851784
10,60,30,30,0.154179937,0.845820063
10,60,30,40,0.145803125,0.854196875
10,60,30,50,0.143057585,0.856942415
10,60,30,60,0.140838783,0.859161217
10,60,40,10,0.144611361,0.855388639
10,60,40,20,0.1471497,0.8528503
10,60,40,30,0.145803125,0.854196875
10,60,40,40,0.143250231,0.856749769
10,60,40,50,0.141893338,0.858106662
10,60,40,60,0.140601009,0.859398991
10,60,50,10,0.142575353,0.857424647
10,60,50,20,0.144180097,0.855819903
10,60,50,30,0.143057585,0.856942415
10,60,50,40,0.141893338,0.858106662
10,60,50,50,0.141329854,0.858670146
10,60,50,60,0.140441163,0.859558837
10,60,60,10,0.140979802,0.859020198
10,60,60,20,0.141960765,0.858039235
10,60,60,30,0.140838783,0.859161217
10,60,60,40,0.140601009,0.859398991
10,60,60,50,0.140441163,0.859558837
10,60,60,60,0.139875423,0.860124577
20,10,10,10,0.347061912,0.652938088
20,10,10,20,0.322195267,0.677804733
