time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
20,10,10,50,0.331436813,0.668563187
20,10,10,60,0.308299538,0.691700462
20,10,20,10,0.331036645,0.668963355
20,10,20,20,0.362580454,0.637419546
20,10,20,30,0.379385353,0.620614647
20,10,20,40,0.351911437,0.648088563
20,10,20,50,0.328310815,0.671689185
20,10,20,60,0.306232135,0.693767865
20,10,30,10,0.328582998,0.671417002
20,10,30,20,0.35326148,0.64673852
20,10,30,30,0.369366248,0.630633752
20,10,30,40,0.342757399,0.657242601
20,10,30,50,0.321176083,0.678823917
20,10,30,60,0.300895606,0.699104394
20,10,40,10,0.308243159,0.691756841
20,10,40,20,0.329352856,0.670647144
20,10,40,30,0.344498795,0.655501205
20,10,40,40,0.321935293,0.678064707
20,10,40,50,0.30338403,0.69661597
20,10,40,60,0.285719907,0.714280093
20,10,50,10,0.306810479,0.693189521
20,10,50,20,0.323158248,0.676841752
20,10,50,30,0.336843995,0.663156005
20,10,50,40,0.314136009,0.685863991
20,10,50,50,0.291378679,0.708621321
20,10,50,60,0.275177026,0.724822974
20,10,60,10,0.289132725,0.710867275
20,10,60,20,0.304026195,0.695973805
20,10,60,30,0.317728528,0.682271472
20,10,60,40,0.301236237,0.698763763
20,10,60,50,0.282261188,0.717738812
20,10,60,60,0.265537386,0.734462614
20,20,10,10,0.243324171,0.756675829
20,20,10,20,0.261643145,0.738356855
20,20,10,30,0.282913515,0.717086485
20,20,10,40,0.275741894,0.724258106
20,20,10,50,0.261582989,0.738417011
20,20,10,60,0.249752195,0.750247805
20,20,20,10,0.247019589,0.752980411
20,20,20,20,0.263963919,0.736036081
20,20,20,30,0.283818289,0.716181711
20,20,20,40,0.276712165,0.723287835
20,20,20,50,0.262300679,0.737699321
20,20,20,60,0.250427073,0.749572927
20,20,30,10,0.254258145,0.745741855
20,20,30,20,0.268453817,0.731546183
20,20,30,30,0.286186772,0.713813228
20,20,30,40,0.278613611,0.721386389
20,20,30,50,0.263889468,0.736110532
20,20,30,60,0.251880094,0.748119906
20,20,40,10,0.254869095,0.745130905
20,20,40,20,0.267565488,0.732434512
20,20,40,30,0.281997031,0.718002969
20,20,40,40,0.275082985,0.724917015
20,20,40,50,0.261323788,0.738676212
20,20,40,60,0.249055972,0.750944028
20,20,50,10,0.262487032,0.737512968
20,20,50,20,0.273558076,0.726441924
20,20,50,30,0.285031172,0.714968828
20,20,50,40,0.277098783,0.722901217
20,20,50,50,0.264181735,0.735818265
20,20,50,60,0.251226995,0.748773005
20,20,60,10,0.259282472,0.740717528
20,20,60,20,0.269096308,0.730903692
20,20,60,30,0.279632605,0.720367395
20,20,60,40,0.272162343,0.727837657
20,20,60,50,0.260710056,0.739289944
20,20,60,60,0.249097229,0.750902771
20,30,10,10,0.157633976,0.842366024
20,30,10,20,0.169343432,0.830656568
20,30,10,30,0.184691955,0.815308045
20,30,10,40,0.191341684,0.808658316
20,30,10,50,0.190257666,0.809742334
20,30,10,60,0.187101192,0.812898808
20,30,20,10,0.162575804,0.837424196
20,30,20,20,0.173788343,0.826211657
20,30,20,30,0.188131439,0.811868561
20,30,20,40,0.1940143,0.8059857
20,30,20,50,0.192376658,0.807623342
20,30,20,60,0.189032774,0.810967226
20,30,30,10,0.170209946,0.829790054
20,30,30,20,0.180740765,0.819259235
20,30,30,30,0.19315622,0.80684378
20,30,30,40,0.197870874,0.802129126
20,30,30,50,0.195236786,0.804763214
20,30,30,60,0.191575616,0.808424384
20,30,40,10,0.174854515,0.825145485
20,30,40,20,0.184462503,0.815537497
20,30,40,30,0.195645277,0.804354723
20,30,40,40,0.198421492,0.801578508
20,30,40,50,0.195077672,0.804922328
20,30,40,60,0.191325457,0.808674543
20,30,50,10,0.183852081,0.816147919
20,30,50,20,0.192803533,0.807196467
20,30,50,30,0.203281846,0.796718154
20,30,50,40,0.203815247,0.796184753
20,30,50,50,0.199488943,0.800511057
20,30,50,60,0.194197532,0.805802468
20,30,60,10,0.186551973,0.813448027
20,30,60,20,0.194708095,0.805291905
20,30,60,30,0.204884732,0.795115268
20,30,60,40,0.204799872,0.795200128
20,30,60,50,0.200430997,0.799569003
20,30,60,60,0.194695872,0.805304128
20,40,10,10,0.110215594,0.889784406
20,40,10,20,0.120579693,0.879420307
20,40,10,30,0.135908186,0.864091814
20,40,10,40,0.147085637,0.852914363
20,40,10,50,0.150098776,0.849901224
20,40,10,60,0.149876134,0.850123866
20,40,20,10,0.11425639,0.88574361
20,40,20,20,0.12433006,0.87566994
20,40,20,30,0.139056206,0.860943794
20,40,20,40,0.149676758,0.850323242
20,40,20,50,0.152270669,0.847729331
20,40,20,60,0.151905826,0.848094174
20,40,30,10,0.119953786,0.880046214
20,40,30,20,0.129630739,0.870369261
20,40,30,30,0.143391239,0.856608761
20,40,30,40,0.153308734,0.846691266
20,40,30,50,0.155306254,0.844693746
20,40,30,60,0.154756934,0.845243066
20,40,40,10,0.123684554,0.876315446
20,40,40,20,0.132469698,0.867530302
20,40,40,30,0.145447033,0.854552967
20,40,40,40,0.154337069,0.845662931
20,40,40,50,0.155954128,0.844045872
20,40,40,60,0.15529066,0.84470934
20,40,50,10,0.131931295,0.868068705
20,40,50,20,0.13997014,0.86002986
20,40,50,30,0.151514382,0.848485618
20,40,50,40,0.158466509,0.841533491
20,40,50,50,0.159173901,0.840826099
20,40,50,60,0.158080907,0.841919093
20,40,60,10,0.135919993,0.864080007
20,40,60,20,0.14333656,0.85666344
20,40,60,30,0.154631155,0.845368845
20,40,60,40,0.160203859,0.839796141
20,40,60,50,0.160319706,0.839680294
20,40,60,60,0.158420077,0.841579923
20,50,10,10,0.102507413,0.897492587
20,50,10,20,0.112341478,0.887658522
20,50,10,30,0.12692693,0.87307307
20,50,10,40,0.138173658,0.861826342
20,50,10,50,0.143387604,0.856612396
20,50,10,60,0.143958366,0.856041634
20,50,20,10,0.105661803,0.894338197
20,50,20,20,0.115416154,0.884583846
20,50,20,30,0.129703399,0.870296601
20,50,20,40,0.140360059,0.859639941
20,50,20,50,0.145119352,0.854880648
20,50,20,60,0.14547468,0.85452532
20,50,30,10,0.110188547,0.889811453
20,50,30,20,0.119706887,0.880293113
