,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Hospitals,Market,Parks,Pharmacy,Restaurant,Schools,Worship,Stadium,Theater
3078,Hunts Point,bicycle,10,0.5616438356164384,35.16978062583047,0.012875536480686695,0.0071530758226037204,0.0021459227467811163,0.17596566523605153,0.057224606580829764,0.09871244635193134,0.38054363376251793,0.21459227467811162,0.04721030042918455,0.0007153075822603721,0.0028612303290414883
3079,Hunts Point,bicycle,20,0.5616438356164384,159.94954593635916,0.013211701793016672,0.0047184649260773835,0.007077697389116075,0.1481597986788298,0.048757470902799624,0.11465869770368041,0.34161686064800256,0.2698961937716263,0.04749921358917899,0.0012582573136206356,0.0031456432840515887
3080,Hunts Point,bicycle,30,0.5616438356164384,394.3644356870662,0.01792549119673386,0.004593008420515437,0.011865271752998214,0.1410436335799949,0.042357744322531254,0.11693033937228885,0.35110997703495783,0.2650548609339117,0.044143914263842815,0.0013396274559836691,0.003636131666241388
3081,Hunts Point,bicycle,40,0.5616438356164384,656.8547726326422,0.02497127537342014,0.007276905400229796,0.019992340099578704,0.1313289927230946,0.03584833397165836,0.11064726158559937,0.36782841823056295,0.2559938720796629,0.04036767522022213,0.0011106855610877057,0.004634239754883186
3082,Hunts Point,bicycle,50,0.8116438356164384,694.1482075844461,0.03406153234283117,0.009488366807761143,0.02053918922757876,0.11897389278713673,0.035169455413198485,0.104741342575495,0.3814096190449135,0.24757819380131246,0.03732848498622198,0.0010795147865117467,0.009630408227039004
3083,Hunts Point,bicycle,60,1.3116438356164384,636.5733346023316,0.04474771122404309,0.01138202097489484,0.017529834979729344,0.11397247758807742,0.03224271493557167,0.09826985667789642,0.4091817506994804,0.2261177411066065,0.03269951845295876,0.0009326405146652963,0.012923732846076248
3084,Hunts Point,walk,10,0.0,3.826086956521739,0.034090909090909095,,,0.20454545454545453,0.045454545454545456,,0.6136363636363636,0.10227272727272727,,,
3085,Hunts Point,walk,20,0.0,13.391304347826086,0.01948051948051948,0.006493506493506494,,0.2142857142857143,0.05194805194805195,0.03896103896103896,0.49350649350649356,0.13636363636363635,0.03246753246753247,0.003246753246753247,0.003246753246753247
3086,Hunts Point,walk,30,0.0,25.173913043478258,0.02072538860103627,0.010362694300518135,0.0051813471502590676,0.18652849740932642,0.05181347150259068,0.08290155440414508,0.4421416234887738,0.17098445595854922,0.02417962003454232,0.0017271157167530226,0.003454231433506045
3087,Hunts Point,walk,40,0.0,60.52173913043478,0.01293103448275862,0.007183908045977011,0.0021551724137931034,0.1831896551724138,0.05459770114942529,0.09698275862068964,0.38074712643678166,0.21120689655172414,0.04741379310344827,0.0007183908045977011,0.0028735632183908046
3088,Hunts Point,walk,50,0.0,95.13043478260869,0.013254113345521025,0.006398537477148082,0.0013711151736745888,0.16042047531992687,0.04936014625228519,0.10420475319926874,0.3482632541133455,0.26188299817184646,0.05118829981718465,0.0009140767824497258,0.0027422303473491776
3089,Hunts Point,walk,60,0.0,164.08695652173913,0.012453630100688923,0.005829358770535241,0.007154213036565977,0.1573926868044515,0.04769475357710652,0.11526232114467408,0.3317435082140964,0.2655007949125596,0.052994170641229466,0.0013248542660307366,0.002649708532061473
