,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Worship,Hospitals,Stadium,Theater
915,Jefferson Park,drive,40,8.375,6.042000863188893,0.06176336226587483,0.021196893558702606,0.04878940155322065,0.09958885335769758,0.03481041571493833,0.3749657377798082,0.16994061215166742,0.172133394243947,0.008222932846048425,0.0012791228871630884,0.007309273640931933
916,Jefferson Park,drive,50,10.468750000000002,2.7332556257398264,0.05064406779661017,0.018033898305084745,0.04861016949152542,0.10047457627118644,0.033355932203389824,0.30061016949152536,0.2084745762711864,0.22522033898305083,0.007525423728813559,0.001016949152542373,0.006033898305084745
917,Jefferson Park,drive,60,12.5625,0.9898365960050666,0.047571168227235595,0.017092942876893107,0.04939357757808081,0.10318607427889147,0.033368943630993526,0.28417017532834793,0.21699239615408786,0.2340224973292277,0.007541004210394018,0.0010683089298058192,0.00559291145604223
918,Jefferson Park,bicycle,10,0.5452054794520548,7.6239507014187975,0.030042918454935626,0.017167381974248927,0.05150214592274678,0.1201716738197425,0.06437768240343347,0.30901287553648066,0.14163090128755365,0.2575107296137339,,,0.008583690987124463
919,Jefferson Park,bicycle,20,0.5452054794520548,31.64103145181106,0.04136504653567735,0.024819027921406413,0.06825232678386764,0.11789038262668046,0.04963805584281283,0.22130299896587385,0.2171664943123061,0.24819027921406414,0.006204756980351603,,0.005170630816959669
920,Jefferson Park,bicycle,30,0.5452054794520548,73.03286680500753,0.042562724014336924,0.01792114695340502,0.07930107526881722,0.09498207885304662,0.04704301075268818,0.26433691756272404,0.22043010752688175,0.22222222222222227,0.008064516129032258,0.0004480286738351255,0.002688172043010753
921,Jefferson Park,bicycle,40,0.5452054794520548,142.17195621315307,0.0469505178365938,0.01979286536248562,0.06766398158803225,0.08883774453394708,0.04142692750287688,0.3005753739930956,0.1981588032220944,0.22370540851553516,0.006904487917146147,0.0009205983889528195,0.005063291139240508
922,Jefferson Park,bicycle,50,0.7952054794520548,193.61647185297485,0.051031004302032335,0.0267022696929239,0.05740987983978638,0.09019433318498739,0.037383177570093455,0.3420857439549028,0.1811303960836671,0.19848687138406765,0.008455718736092568,0.0008900756564307966,0.006230529595015576
923,Jefferson Park,bicycle,60,1.2952054794520547,200.17700127488166,0.05925925925925926,0.022553897180762852,0.0494195688225539,0.08822553897180763,0.03482587064676617,0.3809839690436706,0.16451077943615258,0.18441127694859039,0.008623548922056384,0.001105583195135434,0.006080707573244887
924,Jefferson Park,walk,10,0.0,0.9565217391304348,,,,0.0909090909090909,0.13636363636363635,0.5454545454545454,0.13636363636363635,0.0909090909090909,,,
925,Jefferson Park,walk,20,0.0,2.3043478260869565,0.03773584905660377,,,0.03773584905660377,0.05660377358490566,0.3773584905660377,0.22641509433962265,0.2641509433962264,,,
926,Jefferson Park,walk,30,0.0,5.565217391304348,0.03125,,0.046875,0.125,0.046875,0.375,0.140625,0.21875000000000003,,,0.015625
927,Jefferson Park,walk,40,0.0,9.565217391304348,0.02727272727272727,0.01818181818181818,0.05454545454545454,0.10909090909090909,0.06818181818181819,0.3,0.15,0.26363636363636367,,,0.00909090909090909
928,Jefferson Park,walk,50,0.0,15.173913043478258,0.0343839541547278,0.022922636103151865,0.05157593123209169,0.14326647564469916,0.04297994269340975,0.2693409742120344,0.18051575931232094,0.24641833810888256,,,0.00859598853868195
929,Jefferson Park,walk,60,0.0,22.43478260869565,0.040697674418604654,0.0310077519379845,0.05232558139534884,0.124031007751938,0.05232558139534884,0.2519379844961241,0.186046511627907,0.2519379844961241,,,0.009689922480620157
930,Jefferson Park,transit,10,2.25,0.6457400900824923,0.020833333333333332,,,0.041666666666666664,0.0625,0.625,0.125,0.125,,,
931,Jefferson Park,transit,20,2.25,3.2152475318690765,0.03765690376569037,0.025104602510460247,0.03765690376569037,0.11715481171548117,0.06276150627615062,0.3430962343096234,0.12552301255230125,0.24267782426778242,,,0.008368200836820083
932,Jefferson Park,transit,30,2.25,13.23767184669109,0.05182926829268294,0.022357723577235776,0.060975609756097573,0.10365853658536588,0.05792682926829269,0.25813008130081305,0.20121951219512196,0.23170731707317077,0.006097560975609757,0.0010162601626016261,0.005081300813008131
933,Jefferson Park,transit,40,2.25,45.72647012896648,0.05325095616357752,0.025889967637540458,0.06707855251544573,0.08473080317740513,0.043248014121800536,0.314798470138276,0.18711385701676964,0.20947337452191822,0.00794351279788173,0.00029420417769932336,0.00617828773168579
934,Jefferson Park,transit,50,2.25,115.96415784398091,0.06461716937354987,0.02459396751740139,0.052204176334106726,0.08236658932714618,0.040023201856148494,0.40835266821345706,0.15104408352668214,0.1619489559164733,0.0059164733178654295,0.001160092807424594,0.007772621809744779
935,Jefferson Park,transit,60,2.25,136.37223527429634,0.0630364013021604,0.02170267337476571,0.049422906185261906,0.09509716878760974,0.03728913879846108,0.39104271480714214,0.1598105948505475,0.16553220874025845,0.008286475288546907,0.0011837821840781295,0.007595935681167998
936,Kenwood,drive,10,2.09375,2.7564526493016497,0.05015673981191222,0.03134796238244514,0.05642633228840124,0.1379310344827586,0.04702194357366771,0.33228840125391845,0.21630094043887144,0.11912225705329152,,,0.009404388714733541
937,Kenwood,drive,20,4.1875,1.7344784834875007,0.04554455445544554,0.019801980198019802,0.041584158415841586,0.14653465346534655,0.029702970297029705,0.2118811881188119,0.26435643564356437,0.21980198019801983,0.011881188118811881,0.0009900990099009901,0.007920792079207921
938,Kenwood,drive,30,6.28125,0.9781634218419115,0.06978367062107467,0.013956734124214934,0.042916957431960924,0.1297976273551989,0.03768318213538032,0.3154221912072575,0.18946266573621776,0.17864619678995117,0.00837404047452896,0.00104675505931612,0.012909979064898814
939,Kenwood,drive,40,8.375,0.8102314111613931,0.04956048555881122,0.017245709501883633,0.04495604855588112,0.09928840519045626,0.031142737547090835,0.30908329845123483,0.20569275847634994,0.22804520719966515,0.007785684386772709,0.0011720385098367518,0.00602762662201758
940,Kenwood,drive,50,10.468750000000002,0.21333117727671394,0.04688783570300158,0.017061611374407582,0.04966824644549763,0.10287519747235388,0.03355450236966825,0.2829699842022117,0.2176303317535545,0.23519747235387045,0.0075829383886255935,0.0010110584518167457,0.005560821484992102
941,Kenwood,drive,60,12.5625,0.042644155380483315,0.04755921341961425,0.01708864735817051,0.04938116479236037,0.1034114468806936,0.03336055789407552,0.28409876232958475,0.21693786517559843,0.23396368662436393,0.007539109128604637,0.0010680404598856568,0.005591505937048439
942,Kenwood,bicycle,10,0.5452054794520548,11.932320584818571,0.057416267942583726,0.023923444976076555,0.043062200956937795,0.14354066985645933,0.043062200956937795,0.2679425837320574,0.22248803827751196,0.18181818181818182,0.007177033492822966,,0.009569377990430622
943,Kenwood,bicycle,20,0.5452054794520548,27.918204621896077,0.040899795501022504,0.016359918200409,0.03680981595092025,0.16155419222903888,0.027607361963190188,0.15950920245398775,0.285276073619632,0.25971370143149286,0.006134969325153375,0.0010224948875255625,0.005112474437627813
944,Kenwood,bicycle,30,0.5452054794520548,58.74812383625985,0.034985422740524776,0.011661807580174927,0.043731778425655975,0.14091350826044702,0.026239067055393583,0.1661807580174927,0.2900874635568513,0.27113702623906705,0.008746355685131194,0.0014577259475218659,0.004859086491739553
945,Kenwood,bicycle,40,0.5452054794520548,108.07599457924188,0.03856312731114633,0.012150026413100899,0.045166402535657686,0.1288959323824617,0.030903328050713153,0.18277865821447437,0.2702060221870048,0.27839408346539884,0.005546751188589541,0.0010565240359218173,0.006339144215530904
946,Kenwood,bicycle,50,0.7952054794520548,156.1484055204935,0.05200482363581548,0.011456135061802831,0.04567380162797707,0.10702441965631591,0.030750678323786546,0.28369008139885427,0.22565571299366888,0.22851974675911962,0.0076876695809466366,0.0010551703346397343,0.006481760627072654
947,Kenwood,bicycle,60,1.2952054794520547,140.55033347292712,0.04827507685301151,0.012524194466583174,0.042696117499715365,0.1063417966526244,0.030399635659797336,0.27553227826482984,0.22885118979847432,0.2418308095183878,0.006489809859956735,0.0009108505066605944,0.006148240919959012
948,Kenwood,walk,10,0.0,1.391304347826087,0.03125,0.125,,,0.09375,0.3125,0.1875,0.25,,,
949,Kenwood,walk,20,0.0,4.608695652173913,0.018867924528301886,0.03773584905660377,0.02830188679245283,0.20754716981132076,0.05660377358490566,0.20754716981132076,0.25471698113207547,0.18867924528301885,,,
950,Kenwood,walk,30,0.0,12.608695652173914,0.04827586206896552,0.034482758620689655,0.04137931034482758,0.15172413793103448,0.04137931034482758,0.2827586206896551,0.2172413793103448,0.17241379310344826,,,0.010344827586206895
951,Kenwood,walk,40,0.0,20.0,0.06086956521739131,0.021739130434782608,0.03913043478260869,0.14347826086956522,0.03913043478260869,0.27391304347826084,0.22826086956521738,0.1782608695652174,0.006521739130434782,,0.008695652173913044
952,Kenwood,walk,50,0.0,25.652173913043477,0.05423728813559322,0.01694915254237288,0.03559322033898305,0.14915254237288136,0.030508474576271184,0.2135593220338983,0.2542372881355932,0.22711864406779664,0.01016949152542373,,0.00847457627118644
953,Kenwood,walk,60,0.0,33.04347826086956,0.04473684210526316,0.021052631578947368,0.035526315789473684,0.15789473684210528,0.02763157894736842,0.18421052631578946,0.2723684210526316,0.24210526315789477,0.007894736842105263,,0.006578947368421053
954,Kenwood,transit,10,2.25,0.30637495074918764,0.05,0.2,0.075,,0.075,0.25,0.15,0.2,,,
955,Kenwood,transit,20,2.25,3.1556619927166323,0.03155339805825243,0.029126213592233014,0.043689320388349516,0.11650485436893206,0.05097087378640777,0.27669902912621364,0.2475728155339806,0.1893203883495146,0.0072815533980582535,,0.0072815533980582535
956,Kenwood,transit,30,2.25,11.37417004656359,0.03973063973063973,0.01346801346801347,0.044444444444444446,0.1265993265993266,0.03434343434343435,0.17777777777777778,0.2585858585858586,0.29225589225589227,0.00808080808080808,,0.004713804713804714
957,Kenwood,transit,40,2.25,37.17094089964519,0.057078096023078506,0.01030290541932825,0.04327220276117865,0.10096847310941685,0.033999587883783225,0.26952400576962704,0.21512466515557388,0.25633628683288684,0.005563568926437255,0.00082423243354626,0.00700597568514321
958,Kenwood,transit,50,2.25,60.654580874570414,0.0502588710695795,0.012627857052658164,0.04356610683167067,0.10279075640863745,0.031064528349539083,0.28387422654375555,0.22313423412046976,0.23816138401313297,0.007576714231594899,0.0010102285642126531,0.005935092814749337
959,Kenwood,transit,60,2.25,87.11005787176275,0.050294557284797335,0.01705794425393476,0.04431548404115009,0.10058911456959467,0.03139013452914798,0.30633957618922014,0.21208124505407547,0.22351182625516577,0.007385914006858349,0.0008792754770069464,0.006154928339048625
960,Lake View,drive,10,2.09375,14.424644404017883,0.08418891170431211,0.061601642710472276,0.030800821355236138,0.04106776180698152,0.07392197125256672,0.5297741273100616,0.05544147843942504,0.09856262833675564,0.006160164271047227,0.002053388090349076,0.01642710472279261
961,Lake View,drive,20,4.1875,34.403650602909394,0.07096774193548389,0.03870967741935484,0.0404692082111437,0.07155425219941348,0.04574780058651027,0.4797653958944281,0.12844574780058654,0.10322580645161292,0.008797653958944282,0.0011730205278592375,0.011143695014662757
962,Lake View,drive,30,6.28125,50.51745683378257,0.07836734693877549,0.03156462585034014,0.04979591836734693,0.08435374149659863,0.044081632653061226,0.5017687074829932,0.09877551020408162,0.08925170068027209,0.008163265306122448,0.0013605442176870747,0.012517006802721088
963,Lake View,drive,40,8.375,98.90865343475956,0.06277220223442528,0.022344252982389696,0.0499905320961939,0.10509373224768036,0.03692482484377958,0.3891308464306002,0.1655936375686423,0.15186517704980115,0.007384964968755917,0.0012308274947926527,0.007669002082938837
964,Lake View,drive,50,10.468750000000002,95.38748649649884,0.050160513643659706,0.017924023542001066,0.047953451043338674,0.10098983413590153,0.0331059390048154,0.2961476725521669,0.21067415730337075,0.22846441947565538,0.007624398073836275,0.0010700909577314069,0.0058855002675227384
965,Lake View,drive,60,12.5625,69.14153055504269,0.04758312904645169,0.01709724055566032,0.04940599660569489,0.10296058834621913,0.033377333584763344,0.2842416242378528,0.21704695455402603,0.2340813376076435,0.007542900245144258,0.00106857753472877,0.005594317681815324
